1417,﻿Cula Cuțui,Stronghold Cutui,Broșteni, Mehedinţi,﻿ФЕОДАЛНО ИМЕНИЕ КУЦУЙ,Броșтени, Мехединţи,44.760204,22.980387
1439,Bust Traian - Parcul Traian,Bust Traian - Traian Park,Drobeta Turnu Severin, Mehedinţi,﻿БЮСТ ТРАЯН – ПАРК ТРАЯН,Дробета Турну Северин, Мехединţи,44.639942,22.666111
1440,Casa Dr. Popescu Crivina,House Dr. Popescu Crivina,Drobeta-Turnu Severin, Mehedinţi,Къща Д-р Попеску Кривина,Дробета-Турну Северин, Мехединţи,44.631943,22.648111
1441,Hala Radu Negru,Radu Negru Hall,Drobeta Turnu Severin, Mehedinţi,﻿ХАЛА РАДУ НЕГРУ,Дробета Турну Северин, Мехединţи,44.631943,22.65311
1443,Castelul de Apă,The Water Castle,Drobeta Turnu Severin, Mehedinţi,﻿ВОДНИЯТ ЗАМЪК,Дробета Турну Северин, Мехединţи,44.631943,22.65411
1444,Școala Primară de Fete,Girls Primary School,Drobeta-Turnu Severin, Mehedinţi,﻿ОСНОВНО УЧИЛИЩЕ ЗА МОМИЧЕТА,Дробета-Турну Северин, Мехединţи,44.624943,22.651112
1445,Școala Primară de Băieți,Primary School for Boys,Drobeta-Turnu Severin, Mehedinţi,﻿ОСНОВНО УЧИЛИЩЕ ЗА МОМЧЕТА,Дробета-Турну Северин, Мехединţи,44.63494,22.66411
1446,Muzeul Regiunii Porțile de Fier,Iron Gates Region Museum,Drobeta-Turnu Severin, Mehedinţi,﻿ОБЛАСТЕН МУЗЕЙ ЖЕЛЕЗНИ ВРАТА,Дробета-Турну Северин, Мехединţи,44.632942,22.652111
1448,Termele Drobetei,Drobeta Thermae,Drobeta-Turnu Severin, Mehedinţi,﻿РИМСКИ ТОПЛИ ОБЩЕСТВЕНИ БАНИ ДРОБЕТА,Дробета-Турну Северин, Мехединţи,44.635944,22.65011
1449,Piciorul Pod Traian,Traian Foot Bridge,Drobeta Turnu Severin, Mehedinţi,﻿МОСТЪТ КРАК ТРАЯН,Дробета Турну Северин, Мехединţи,44.621944,22.665112
1450,Monument Cripta Eroilor,Heroes Monument Crypt,Drobeta Turnu Severin, Mehedinţi,﻿Паметник гробница на героите,Дробета Турну Северин, Мехединţи,44.631943,22.655111
1451,Biblioteca Județeană,County Library,Drobeta Turnu Severin, Mehedinţi,﻿ОКРЪЖНА БИБЛИОТЕКА,Дробета Турну Северин, Мехединţи,44.630943,22.662111
1452,Muzeul de Artă,Art Museum,Drobeta Turnu Severin, Mehedinţi,﻿МУЗЕЙ НА ИЗКУСТВОТО,Дробета Турну Северин, Мехединţи,44.628944,22.64711
1453,Bust Gheorghe Anghel,Bust Gheorghe Anghel,Drobeta-Turnu Severin, Mehedinţi,﻿БЮСТ НА ГЕОРГЕ АНГЕЛ,Дробета-Турну Северин, Мехединţи,44.623943,22.65611
1455,Monument Marius Vorvoreanu,Monument Marius Vorvoreanu,Drobeta-Turnu Severin, Mehedinţi,Паметник Мариус Ворворяну,Дробета-Турну Северин, Мехединţи,44.63394,22.64911
1458,Portul Severin,Port Severin,Drobeta-Turnu Severin, Mehedinţi,﻿Пристанище Северин,Дробета-Турну Северин, Мехединţи,44.637943,22.64711
1459,Monument Carol I,Monument Carol I,Drobeta-Turnu Severin, Mehedinţi,Паметникът Карол I,Дробета-Турну Северин, Мехединţи,44.622944,22.64911
1460,Monumentul Marinarilor,Sailors Monument,Drobeta-Turnu Severin, Mehedinţi,﻿Паметникът на моряците,Дробета-Турну Северин, Мехединţи,44.621944,22.66111
1461,Casa Matache,House Matache,Drobeta-Turnu Severin, Mehedinţi,Къща Матаке,Дробета-Турну Северин, Мехединţи,44.638943,22.658112
1469,Monument Eroi România Mare,not defined,Mehedinţi,Mehedinţi,Паметникът Герои на Велика Румъния,Мехединţи,Мехединţи,44.551506,22.904415
1470,Monument Porțile de Fier,Iron Gates Monument,Porțile de Fier, Mehedinţi,Паметник Железни врата,Порțиле де Фиер, Мехединţи,44.544506,22.895414
1471,Muzeul Porțile de Fier,Iron Gates Museum,Porțile de Fier, Mehedinţi,Музеят Железни врата,Порțиле де Фиер, Мехединţи,44.555508,22.906416
1472,Palatul Gheorghe Pleșa,George Pleşa Palace,Obârșia de Câmp, Mehedinţi,Дворецът Георге Плеша,Обярșиа де Цямп, Мехединţи,44.17198,22.98234
1474,Statuie Mihai Eminescu,Mihai Eminescu Statue,Orșova, Mehedinţi,﻿Статуята на Михай Еминеску,Орșова, Мехединţи,44.724392,22.396456
1475,Far Orșova,Lighthouse Orşova,Orșova, Mehedinţi,﻿Фар Оршова,Орșова, Мехединţи,44.72739,22.403456
1476,Monumentul Eroilor,Heroes Monument,Orșova, Mehedinţi,﻿Паметникът на героите,Орșова, Мехединţи,44.71939,22.396456
1477,Monumentul Dezrădăcinați 1950,Monument Uprooted 1950,Orșova, Mehedinţi,Паметникът  Обезкоренените 1950,Орșова, Мехединţи,44.71839,22.391457
1482,Bust Mihai Eminescu,Mihai Eminescu Bust,Drobeta-Turnu Severin, Mehedinţi,﻿Бюстът на Михай Еминеску,Дробета-Турну Северин, Мехединţи,44.622944,22.66111
1483,Monument Victimele Comunism,Victims of Communism Memorial,Drobeta-Turnu Severin, Mehedinţi,﻿Паметникът на жертвите от комунизма,Дробета-Турну Северин, Мехединţи,44.62794,22.651112
1485,Podul lui Dumnezeu,God's Bridge,Ponoarele, Mehedinţi,﻿Божият мост,Поноареле, Мехединţи,44.970573,22.780716
1488,Statuia Danubia,Statue Danubia,Orşova, Mehedinţi,Статуята Данубия,Орşова, Мехединţи,44.721394,22.390455
1489,Statuia lui Decebal,Statue of Decebal,Orşova, Mehedinţi,﻿Статуята на Дечебал,Орşова, Мехединţи,44.73339,22.390455
1490,Bust Mihai Viteazu,Bust Michael the Brave,Strehaia, Mehedinţi,Бюст Михай Витязу,Стрехаиа, Мехединţи,44.63347,23.21028
1491,Monumentul Eroilor,Heroes Monument,Strehaia, Mehedinţi,﻿Паметникът на героите,Стрехаиа, Мехединţи,44.634468,23.201279
1500,Statuia Constantin Brâncoveanu,Statue of Constantin Brancoveanu,Baia de Aramă, Mehedinţi,﻿Статуята на Константин Брънковяну,Баиа де Арамъ, Мехединţи,44.99952,22.811518
1502,Peștera Ponoarele,Cave Ponoarele,Ponoarele, Mehedinţi,﻿Пещерата Поноареле,Поноареле, Мехединţи,44.968575,22.779716
1507,Peștera Băluța,Cave Băluța,Băluța, Mehedinţi,Пещерата Бълуца,Бълуțа, Мехединţи,44.609375,22.8004
1289,CASA MEMORIALA AMZA PELLEA,Memorial House Amza Pellea,BAILESTI,DOLJ,﻿КЪЩА-МУЗЕЙ АМЗА ПЕЛЛЯ,БАИЛЕСТИ,ДОЛЙ,44.026886,23.353436
1291,MUZEUL CAMPIEI,Plain Museum,BAILESTI,DOLJ,﻿МУЗЕЯ НА ПОЛЕТО,БАИЛЕСТИ,ДОЛЙ,44.020885,23.349436
1292,PARCUL TINERETULUI,Youth Park,BAILESTI,DOLJ,﻿Младежки парк,БАИЛЕСТИ,ДОЛЙ,44.033886,23.353436
1293,MONUMENT PETRE IVANOVICI,Monument Petre Ivanovici,BAILESTI,DOLJ,﻿ПАМЕТНИК ПЕТРЕ ИВАНОВИЧ,БАИЛЕСТИ,ДОЛЙ,44.032887,23.357435
1294,MONUMENTUL EROILOR,Heroes Monument,BAILESTI,DOLJ,﻿ПАМЕТНИКА НА ГЕРОИТЕ,БАИЛЕСТИ,ДОЛЙ,44.036884,23.344435
1295,BUST MIHAI VITEAZUL,Bust Michael the Brave,BAILESTI,DOLJ,﻿БЮСТЪТ НА МИХАЙ ВИТЯЗУЛ,БАИЛЕСТИ,ДОЛЙ,44.035885,23.347435
1299,CASA DUMITRU P. ARSSENIE,House Dumitru P. Arssenie,CALAFAT,DOLJ,﻿Къща Думитру П. Арсение,ЦАЛАФАТ,ДОЛЙ,43.990784,22.934643
1300,CASA IOAN GHEORGHIADIS,House Ioan Gheorghiadis,CALAFAT,DOLJ,﻿Къща Йоан Георгиадис,ЦАЛАФАТ,ДОЛЙ,43.998783,22.939642
1301,CLUBUL COPIILOR,Children's Club,CALAFAT,DOLJ,﻿Детски клуб,ЦАЛАФАТ,ДОЛЙ,43.986782,22.941643
1302,CENTRUL CULTURAL BULGAR,Bulgarian Cultural Center,CALAFAT,DOLJ,﻿Български културен център,ЦАЛАФАТ,ДОЛЙ,43.998783,22.943644
1303,BUST STEFAN IORDACHE,Stefan Iordache Bust,CALAFAT,DOLJ,﻿БЮСТ НА ЩЕФАН ЙОРДАКЕ,ЦАЛАФАТ,ДОЛЙ,43.997784,22.931643
1304,BUST SIMA PASARETZ,Bust Sima Pasaretz,CALAFAT,DOLJ,﻿БЮСТ СИМА ПАСАРЕЦ,ЦАЛАФАТ,ДОЛЙ,43.991783,22.928642
1305,MONUMENTUL EROILOR,Heroes Monument,CALAFAT,DOLJ,﻿ПАМЕТНИКЪТ НА ГЕРОИТЕ,ЦАЛАФАТ,ДОЛЙ,43.999783,22.926643
1306,BUST TUDOR VLADIMIRESCU,Bust Tudor Vladimirescu,CALAFAT,DOLJ,﻿БЮСТ ТУДОР ВЛАДИМИРЕСКУ,ЦАЛАФАТ,ДОЛЙ,43.998783,22.938643
1311,PORT CULTURAL CETATE,Cultural Harbour Fortress,CETATE,DOLJ,﻿КУЛТУРНО ПРИСТАНИЩЕ ЧЕТАТЕ,ЦЕТАТЕ,ДОЛЙ,44.105244,23.0516
1312,BUST ALEXANDRU IOAN CUZA,Alexandru Ioan Cuza Bust,CETATE,DOLJ,﻿БЮСТ АЛЕКСАНДРУ ЙОАН КУЗА,ЦЕТАТЕ,ДОЛЙ,44.103245,23.049599
1313,ANSAMBLUL CURTII COTOFENILOR,Coţofenilor Court Ensemble,COTOFENII DIN FATA,DOLJ,﻿АНСАМБЪЛ НА ДВОРА НА КОЦОФЕНИТЕ,ЦОТОФЕНИИ ДИН ФАТА,ДОЛЙ,44.43009,23.615244
1315,CASA VRABIESCU,House Vrabiescu,CRAIOVA,DOLJ,﻿КЪЩА ВРЪБИЕСКУ,ЦРАИОВА,ДОЛЙ,44.316666,23.8
1316,CASA ZWILLINGER,House Zwillinger,CRAIOVA,DOLJ,﻿КЪЩА ЗВИЛИНГЕР,ЦРАИОВА,ДОЛЙ,44.311665,23.799
1317,CASA GHEORGHE CHITU,Gheorghe Chitu House,CRAIOVA,DOLJ,﻿КЪЩА ГЕОРГЕ КИЦУ,ЦРАИОВА,ДОЛЙ,44.313667,23.804998
1318,CASA MARIA TANASE,Maria Tanase House,CRAIOVA,DOLJ,﻿Дом Мария Тънасе - КРАЙОВА,ЦРАИОВА,ДОЛЙ,44.312664,23.800999
1319,CASA SCHINA,House Schina,CRAIOVA,DOLJ,﻿КЪЩА СКИНА,ЦРАИОВА,ДОЛЙ,44.316666,23.793
1320,CASA FERARU,House Feraru,CRAIOVA,DOLJ,﻿КЪЩА ФЕРАРУ,ЦРАИОВА,ДОЛЙ,44.314667,23.800999
1322,CASA NICOLAE ROMANESCU,House Nicolae Romanescu,CRAIOVA,DOLJ,﻿КЪЩА НИКОЛАЕ РОМЪНЕСКУ,ЦРАИОВА,ДОЛЙ,44.309666,23.793999
1323,CASA VARVOREANU,House Vârvoreanu,CRAIOVA,DOLJ,﻿Къща Върворяну,ЦРАИОВА,ДОЛЙ,44.322666,23.806
1324,CASA RUSANESCU,House Rusănescu,CRAIOVA,DOLJ,﻿КЪЩА РУСЪНЕСКУ,ЦРАИОВА,ДОЛЙ,44.306667,23.804998
1325,CASA DIAMANTOPOL,House Diamantopol,CRAIOVA,DOLJ,﻿Къща Диамантопол,ЦРАИОВА,ДОЛЙ,44.307667,23.803
1326,CASA BOICESCU,House Boicescu,CRAIOVA,DOLJ,﻿КЪЩА БОИЧЕСКУ,ЦРАИОВА,ДОЛЙ,44.323666,23.807999
1327,CASA ESKENAZY,House Eskenazy,CRAIOVA,DOLJ,﻿КЪЩА ЕШКЕНАЗИ,ЦРАИОВА,ДОЛЙ,44.309666,23.809
1328,HOTEL MINERVA,Hotel Minerva,CRAIOVA,DOLJ,﻿ХОТЕЛ МИНЕРВА,ЦРАИОВА,ДОЛЙ,44.313667,23.790998
1329,HOTEL NEW YORK,Hotel New York,CRAIOVA,DOLJ,﻿ХОТЕЛ НЮ ЙОРК,ЦРАИОВА,ДОЛЙ,44.308666,23.806
1332,PALATUL ADMINISTRATIV,Administrative Palace,CRAIOVA,DOLJ,﻿АДМИНИСТРАТИВНИЯ ПАЛАТ,ЦРАИОВА,ДОЛЙ,44.319664,23.803
1333,STATUIE MIHAI VITEAZU,Statue Michael the Brave,CRAIOVA,DOLJ,﻿СТАТУЯТА НА МИХАЙ ВИТЯЗУЛ,ЦРАИОВА,ДОЛЙ,44.319664,23.796999
1334,HOTEL PALACE,Hotel Palace,CRAIOVA,DOLJ,﻿ХОТЕЛ ПАЛАС,ЦРАИОВА,ДОЛЙ,44.314667,23.806
1335,MUZEUL DE ARTA,Art Museum Jean Mihail Palace,CRAIOVA,DOLJ,﻿МУЗЕЯТ НА ИЗКУСТВАТА,ЦРАИОВА,ДОЛЙ,44.316666,23.809
1336,BUSTUL LUI THEODOR AMAN,Bust of Theodor Aman,CRAIOVA,DOLJ,﻿BUSTUL LUI THEODOR AMAN,ЦРАИОВА,ДОЛЙ,44.321667,23.804998
1337,CASA CONSTANTIN VALIMARESCU,House Constantin Valimarescu,CRAIOVA,DOLJ,﻿КЪЩА КОНСТАНТИН ВЪЛИМЪРЕСКУ,ЦРАИОВА,ДОЛЙ,44.308666,23.8
1338,CASA STOILOV BOLINTINEANU,House Stoilov Bolintineanu,CRAIOVA,DOLJ,﻿КЪЩА СТОИЛОВ БОЛИНТИНЯНУ,ЦРАИОВА,ДОЛЙ,44.308666,23.799
1339,AJPISD,AJPIS Dolj,CRAIOVA,DOLJ,﻿ОАПСИ (AJPISD),ЦРАИОВА,ДОЛЙ,44.311665,23.81
1341,BUST ROMANESCU,Bust Romanescu,CRAIOVA,DOLJ,﻿ХОТЕЛ МИНЕРВА,ЦРАИОВА,ДОЛЙ,44.316666,23.796
1343,MONUMENT VORVOREANU,Monument Vorvoreanu,CRAIOVA,DOLJ,﻿ПАМЕТНИК ВОРВОРЯНУ,ЦРАИОВА,ДОЛЙ,44.323666,23.800999
1344,STATUIE NICOLAE ROMANESCU,Statue Nicolae Romanescu,CRAIOVA,DOLJ,﻿СТАТУЯТА НИКОЛАЕ РОМАНЕСКУ,ЦРАИОВА,ДОЛЙ,44.320667,23.807
1346,JUDECATORIA CRAIOVA,Craiova Court,CRAIOVA,DOLJ,﻿ОКРЪЖЕН СЪД - КРАОЙОВА,ЦРАИОВА,ДОЛЙ,44.318665,23.8
1347,UNIVERSITATEA,Craiova University,CRAIOVA,DOLJ,﻿УНИВЕРСИТЕТА,ЦРАИОВА,ДОЛЙ,44.316666,23.804998
1348,BUSTUL MIHAI I,Bust Mihai I,CRAIOVA,DOLJ,﻿БЮСТЪТ НА МИХАЙ I,ЦРАИОВА,ДОЛЙ,44.310665,23.807
1350,PRIMARIA CRAIOVA,City Hall of Craiova,CRAIOVA,DOLJ,﻿Кметство град Крайова,ЦРАИОВА,ДОЛЙ,44.321667,23.8
1351,STATUIE CAROL I,Statue Carol I,CRAIOVA,DOLJ,﻿СТАТУЯ НА КАРОЛ I,ЦРАИОВА,ДОЛЙ,44.310665,23.806
1352,COLEGIUL NATIONAL CAROL I,Carol I National College,CRAIOVA,DOLJ,﻿НАЦИОНАЛЕН КОЛЕЖ КАРОЛ I,ЦРАИОВА,ДОЛЙ,44.310665,23.8
1353,MUZEUL DE STIINTE ALE NATURII,Museum of Natural Sciences,CRAIOVA,DOLJ,﻿ПРИРОДОНАУЧНИЯ МУЗЕЙ,ЦРАИОВА,ДОЛЙ,44.314667,23.790998
1355,STATUIE ION MAIORESCU,Ion Maiorescu Statue,CRAIOVA,DOLJ,﻿СТАТУЯТА НА БРАТЯТА БУЗЕЩ,ЦРАИОВА,ДОЛЙ,44.311665,23.789999
1356,SCOALA OTETELESEANU,School Otetelesanu,CRAIOVA,DOLJ,﻿УЧИЛИЩЕ ОТЕТЕЛЕШАНУ,ЦРАИОВА,ДОЛЙ,44.310665,23.792
1357,MUZEUL OLTENIEI,Oltenia Museum,CRAIOVA,DOLJ,﻿МУЗЕЙ ОЛТЕНИЯ,ЦРАИОВА,ДОЛЙ,44.320667,23.797998
1360,CASA GRIGORE GABRIELESCU,House Grigore Gabrielescu,CRAIOVA,DOLJ,﻿КЪЩАТА ГРИГОРЕ ГАБРИЕЛЕСКУ,ЦРАИОВА,ДОЛЙ,44.315666,23.795
1361,BLOCUL CASA ALBA,Block White House,CRAIOVA,DOLJ,﻿БЛОК КАСА АЛБА,ЦРАИОВА,ДОЛЙ,44.325665,23.800999
1363,CASA BRAILOIU LECCA,House Brailoiu Lecca,CRAIOVA,DOLJ,﻿КЪЩА БРЪИЛОИУ ЛЕККА,ЦРАИОВА,ДОЛЙ,44.324665,23.793999
1365,FANTANA JIANU,Jianu Fountain,CRAIOVA,DOLJ,﻿ФОНТАН ЖИАНУ,ЦРАИОВА,ДОЛЙ,44.315666,23.8
1366,STATUIA TUDOR VLADIMIRESCU,Monument Tudor Vladimirescu,CRAIOVA,DOLJ,﻿СТАТУИ ТУДОР ВЛАДИМИРЕСКУ,ЦРАИОВА,ДОЛЙ,44.311665,23.807999
1367,CASA IONEL PLESIA,House Ionel Plesia,CRAIOVA,DOLJ,﻿КЪЩА ЙОНЕЛ ПЛЕШЯ,ЦРАИОВА,ДОЛЙ,44.323666,23.796
1368,CASA PENCIOIU,House Pencioiu,CRAIOVA,DOLJ,КЪЩА ПЕНЧОЮ,ЦРАИОВА,ДОЛЙ,44.323666,23.802
1369,CASA VERNESCU,House Vernescu,CRAIOVA,DOLJ,﻿КЪЩАТА НА ВЕРНЕСКУ,ЦРАИОВА,ДОЛЙ,44.307667,23.795
1370,CASA BARBU DRUGA,House Barbu Druga,CRAIOVA,DOLJ,﻿КЪЩАТА НА БАРБУ ДРУГА,ЦРАИОВА,ДОЛЙ,44.324665,23.800999
1371,CASA SIMION BARNUTIU 2,House Cănciulescu,CRAIOVA,DOLJ,﻿КЪЩАТА НА СИМИОН БЪРНУЦИУ 2 – КЪЩАТА НА КАНЧУЛЕСКУ,ЦРАИОВА,ДОЛЙ,44.319664,23.796
1373,CASA DR. MENDEL,Dr. Mendel House,CRAIOVA,DOLJ,﻿Къща Д-р Мендел,ЦРАИОВА,ДОЛЙ,44.318665,23.807
1374,CASA TRAIAN DEMETRESCU,House Traian Demetrescu,CRAIOVA,DOLJ,﻿КЪЩАТА НА ТРАЯН ДЕМЕТРЕСКУ,ЦРАИОВА,ДОЛЙ,44.325665,23.807
1375,CASA MEMORIALA ELENA FARAGO,Elena Farago Memorial House,CRAIOVA,DOLJ,﻿КЪЩА-МУЗЕЙ ЕЛЕНА ФАРАГО,ЦРАИОВА,ДОЛЙ,44.319664,23.790998
1376,CASA MIRICA,House Mirica,CRAIOVA,DOLJ,КЪЩА МИРИКА,ЦРАИОВА,ДОЛЙ,44.318665,23.790998
1377,CASA POENARU,House Poenaru,CRAIOVA,DOLJ,﻿КЪЩА ПОЕНАРУ,ЦРАИОВА,ДОЛЙ,44.309666,23.8
1378,STATUIA EUGENIU CARADA,Eugeniu Carada Statue,CRAIOVA,DOLJ,﻿СТАТУЯТА НА ЕУДЖЕНИУ КАРАДА,ЦРАИОВА,ДОЛЙ,44.308666,23.793
1379,CASA BANIEI,Baniei House,CRAIOVA,DOLJ,﻿КЪЩАТА НА ПАРИТЕ,ЦРАИОВА,ДОЛЙ,44.308666,23.803
1381,FANTANA PURCARULUI,Purcarului Fountain,CRAIOVA,DOLJ,﻿КЛАДЕНЕЦЪТ НА СВИНАРЯ,ЦРАИОВА,ДОЛЙ,44.311665,23.793
1382,HANUL PUTUREANU,Putureanu Inn,CRAIOVA,DOLJ,﻿ГОСТИЛНИЦА ПУЦУРЯНУ,ЦРАИОВА,ДОЛЙ,44.325665,23.796
1384,CASA CIOROIANU,House Cioroianu,CRAIOVA,DOLJ,﻿Къща Чьорояну,ЦРАИОВА,ДОЛЙ,44.324665,23.793
1385,STATUIA FRATII BUZESTI,Statue Buzeşti Brothers,CRAIOVA,DOLJ,﻿СТАТУЯТА НА БРАТЯТА БУЗЕЩ,ЦРАИОВА,ДОЛЙ,44.317665,23.790998
1386,COLEGIUL NATIONAL FRATII BUZESTI,Buzeşti Brothers National College,CRAIOVA,DOLJ,﻿ГИМНАЗИЯ БРАТЯ БУЗЕЩ,ЦРАИОВА,ДОЛЙ,44.317665,23.809
1389,MUZEUL MITRE ARAMBASA,Mitre Arambaşa Museum,DABULENI,DOLJ,Музеят Митре Арамбаша,ДАБУЛЕНИ,ДОЛЙ,43.8056,24.102167
1391,BUST ANTON PANN,Anton Pann Bust,FILIASI,DOLJ,﻿БЮСТЪТ НА АНТОН ПАН,ФИЛИАСИ,ДОЛЙ,44.55411,23.529799
1393,MAUSOLEUL FAMILIEI FILISANU,Filisanu Family Mausoleum,FILIASI,DOLJ,﻿МАВЗОЛЕЯТ НА СЕМЕЙСТВО ФИЛИШАНУ,ФИЛИАСИ,ДОЛЙ,44.560112,23.534798
1396,SALCIA LUI PETRACHE LUPU,Petrache Lupu's Willow,MAGLAVIT,DOLJ,﻿ВЪРБАТА НА ПЕТРАКЕ ЛУПУ,МАГЛАВИТ,ДОЛЙ,44.033283,23.094305
1398,STATUIA PETRE LUPU,Statue Petre Lupu,MAGLAVIT,DOLJ,﻿СТАТУЯТА НА ПЕТРЕ  ЛУПУ,МАГЛАВИТ,ДОЛЙ,44.034283,23.085304
1399,MUZEUL SATULUI,Village Museum,MAGLAVIT,DOLJ,﻿МУЗЕЯТ НА СЕЛОТО,МАГЛАВИТ,ДОЛЙ,44.041283,23.087305
1400,Muzeul Vetre Stramosesti,Museum Ancestral Homes,Marotinu de Jos, Dolj,МУЗЕЯТ БАЩИНИ ОГНИЩА,Маротину де Йос, Долй,44.030815,24.144667
1403,MUZEUL HENRI COANDA,Henri Coandă Museum,PERISOR,DOLJ,МУЗЕЯТ ХЕНРИ КОАНДА,ПЕРИСОР,ДОЛЙ,44.144215,23.480015
1405,Castrul de la Răcari,Roman Champ at Răcari,Răcarii de Jos, Dolj,﻿ЛАГЕРЪТ ОТ РЪКАРИ,Ръцарии де Йос, Долй,44.53341,23.5546
1408,CASA MEMORIALA HENRI CATARGI,Henri Catargi Memorial House,SCAESTI,DOLJ,МЕМОРИАЛЕН ДОМ ХЕНРИ КАТАРДЖИ,СЦАЕСТИ,ДОЛЙ,44.45663,23.57988
1410,CLUBUL COPIILOR,Children's Club,SEGARCEA,DOLJ,﻿Детски клуб,СЕГАРЦЕА,ДОЛЙ,44.098015,23.752506
1412,BUSTUL HORIA VINTILA,Bust Horia Vintilă,SEGARCEA,DOLJ,﻿БЮСТЪТ НА ХОРИЯ ВИНТИЛА,СЕГАРЦЕА,ДОЛЙ,44.095016,23.745506
1413,CRAMA DOMNEASCA,Royal Wine Cellar,SEGARCEA,DOLJ,﻿ВЛАДЕТЕЛСКАТА ИЗБА,СЕГАРЦЕА,ДОЛЙ,44.091015,23.756506
1570,MUZEUL SATESC,Village Museum,BABICIU,OLT,﻿Музей на селото,БАБИЦИУ,ОЛТ,44.031956,24.563915
1572,CASA MEMORIALA MIHAIL DRUMES,Memorial House Mihail Drumeş,BALS,OLT,﻿Къща-музей Михаил Друмеш,БАЛС,ОЛТ,44.34826,24.110214
1585,BUST TOMA RUSCA,Bust Toma Rușcă,CARACAL,OLT,﻿Бюст на Томас Рушка,ЦАРАЦАЛ,ОЛТ,44.116642,24.359066
1586,CASA MEMORIALA IANCU JIANU,Iancu Jianu Memorial House,CARACAL,OLT,﻿Мемориална къща Жиану Янку,ЦАРАЦАЛ,ОЛТ,44.11064,24.362066
1587,CASA NICOLAE TITULESCU,House Nicolae Titulescu,CARACAL,OLT,﻿Къща Николае Титулеску,ЦАРАЦАЛ,ОЛТ,44.107643,24.367065
1588,CLUBUL COPIILOR,Children's Club,CARACAL,OLT,﻿Детски клуб,ЦАРАЦАЛ,ОЛТ,44.113644,24.353065
1589,CONACUL HAGIESCU,Hagiescu Mansion,CARACAL,OLT,﻿Имението Хаджиеску,ЦАРАЦАЛ,ОЛТ,44.108643,24.354067
