1417,﻿Cula Cuțui,Broșteni, Mehedinţi,Stronghold Cutui,Broșteni, Mehedinţi
1570,Muzeul Sătesc,Babiciu, Olt,Village Museum,Babiciu, Olt
1572,Casa Memorială Mihail Drumeș,Balș, Olt,Memorial House Mihail Drumeş,Balș, Olt
1585,Bust Toma Rușcă,Caracal, Olt,Bust Toma Rușcă,Caracal, Olt
1586,Casa Memorială Iancu Jianu,Caracal, Olt,Iancu Jianu Memorial House,Caracal, Olt
1587,Casa Nicolae Titulescu,Caracal, Olt,House Nicolae Titulescu,Caracal, Olt
1588,Clubul Copiilor,Caracal, Olt,Children's Club,Caracal, Olt
1589,Conacul Hagiescu,Caracal, Olt,Hagiescu Mansion,Caracal, Olt
1590,Judecătoria Caracal,Caracal, Olt,Caracal Court,Caracal, Olt
1591,Monumentul Eroilor,Caracal, Olt,Heroes Monument,Caracal, Olt
1592,Monumentul Recunoștinței,Caracal, Olt,Monument of Gratitude,Caracal, Olt
1593,Muzeul Romanațiului,Caracal, Olt,Romanaţiului Museum,Caracal, Olt
1594,Parcul Constantin Poroineanu,Caracal, Olt,Constantin Poroineanu Park,Caracal, Olt
1595,Primăria Caracal,Caracal, Olt,City Hall Caracal,Caracal, Olt
1596,Statuia Ceres,Caracal, Olt,Statue of Ceres,Caracal, Olt
1597,Teatrul de Vară,Caracal, Olt,Summer Theatre,Caracal, Olt
1598,Teatrul Național,Caracal, Olt,National Theatre,Caracal, Olt
1599,Farul Caracal,Caracal, Olt,Lighthouse Caracal,Caracal, Olt
1600,Conacul Cezieni,Cezieni, Olt,Cezieni Mansion,Cezieni, Olt
1603,Muzeul de Sculptură Sătesc Nicolae Nica,Chilia, Olt,Nicolae Nica Village Sculpture Museum,Chilia, Olt
1607,Monumentul Eroilor,Corabia, Olt,Heroes Monument,Corabia, Olt
1608,Primăria Corabia,Corabia, Olt,City Hall Corabia,Corabia, Olt
1610,Muzeul de Arheologie,Corabia, Olt,Museum of Archaeology,Corabia, Olt
1611,Bust Alexandru Ioan Cuza,Corabia, Olt,Alexandru Ioan Cuza Bust,Corabia, Olt
1613,Cetatea Sucidava,Corabia, Olt,Fortress Sucidava,Corabia, Olt
1616,Conacul Boierului Ioan Marian,Curtișoara, Olt,Manor of Boyar Ioan Marian,Curtișoara, Olt
1621,Parcul Constantin Brâncuși,Frunzaru, Olt,Constantin Brancusi Park,Frunzaru, Olt
1624,Turnul Medieval,Hotărani, Olt,Medieval Tower,Hotărani, Olt
1629,Conacul Izvoru,Izvoru, Olt,Mansion Izvoru,Izvoru, Olt
1631,Conacul Paul Lazăr,Liiceni, Olt,Paul Lazar Mansion,Liiceni, Olt
1639,Conacul Boieresc Romano,Pleșoiu, Olt,Boyar Mansion Romano,Pleșoiu, Olt
1642,Ansamblul Brătășanu,Radomirești, Olt,Brătăşanu Ensemble,Radomirești, Olt
1643,Vestigiile Orașului Roman,Resca, Olt,Remains of the Roman City,Resca, Olt
1645,Statuia Sfântul Constantin cel Mare,Reșca, Olt,Saint Constantine the Great Statue,Reșca, Olt
1652,Casa Memorială Nicolae Ceaușescu,Scornicești, Olt,Memorial House of Nicolae Ceauşescu,Scornicești, Olt
1662,Bust Radu Greceanu,Slatina, Olt,Bust Radu Greceanu,Slatina, Olt
1663,Casa Fântâneanu,Slatina, Olt,House Fântâneanu,Slatina, Olt
1664,Casa Ioan Călugăru,Slatina, Olt,House Ioan Călugăru,Slatina, Olt
1665,Casa Strada Mihai Eminescu nr. 44,Slatina, Olt,House Street Mihai Eminescu no. 44,Slatina, Olt
1666,Casa Strada Mihai Eminescu nr. 48,Slatina, Olt,House Street Mihai Eminescu no. 48,Slatina, Olt
1668,Clădirea BNR,Slatina, Olt,BNR Building,Slatina, Olt
1669,Cofetăria Atletul Albanez,Slatina, Olt,Confectionery Albanian Athlete,Slatina, Olt
1670,Colegiul Național Radu Greceanu,Slatina, Olt,National College Radu Greceanu,Slatina, Olt
1672,Muzeul de Etnografie,Slatina, Olt,Ethnography Museum,Slatina, Olt
1673,Muzeul Județean Olt,Slatina, Olt,Olt County Museum,Slatina, Olt
1674,Obelisc,Slatina, Olt,Obelisk,Slatina, Olt
1675,Podul de peste Olt,Slatina, Olt,The Bridge over Olt,Slatina, Olt
1676,Poliția Locală,Slatina, Olt,Local Police,Slatina, Olt
1677,Primăria Slatina,Slatina, Olt,City Hall Slatina,Slatina, Olt
1678,Registrul Comerțului,Slatina, Olt,Trade Register,Slatina, Olt
1680,Școala Primară de Băieți,Slatina, Olt,Primary School for Boys,Slatina, Olt
1681,Statuie Ecaterina Teodoroiu,Slatina, Olt,Ecaterina Teodoroiu Statue,Slatina, Olt
1682,Statuie Eugen Ionesco,Slatina, Olt,Eugen Ionesco Statue,Slatina, Olt
1683,Statuie Nicolae Titulescu,Slatina, Olt,Nicolae Titulescu Statue,Slatina, Olt
1684,Statuie Tudor Vladimirescu,Slatina, Olt,Tudor Vladimirescu Statue,Slatina, Olt
1697,Conacul Neamțu,Olari, Olt,Neamţu Mansion,Olari, Olt
1698,Cula Călățeanu,Piatra Olt, Olt,Stronghold Călăţeanu,Piatra Olt, Olt
1700,Casa Memorială Nicolae Titulescu,Nicolae Titulescu, Olt,Nicolae Titulescu Memorial House,Nicolae Titulescu, Olt
1701,Conacul Argeșanu,Piatra Olt, Olt,Mansion Argeşanu,Piatra Olt, Olt
1513,Casa Zarzara,Alexandria, Teleorman,House Zarzara,Alexandria, Teleorman
1514,Podul metalic peste Râul Vedea,Alexandria, Teleorman,Metal Bridge over the River Vedea,Alexandria, Teleorman
1515,Ruinele Cetății Romane Turris,Alexandria, Teleorman,Turris Roman Fortress Ruins,Alexandria, Teleorman
1516,Clădirea Școlii Gimnaziale nr. 5,Alexandria, Teleorman,Building of Middle School no. 5,Alexandria, Teleorman
1517,Gara Alexandria,Alexandria, Teleorman,Alexandria Station,Alexandria, Teleorman
1518,Muzeul Județean Teleorman,Alexandria, Teleorman,Teleorman County Museum,Alexandria, Teleorman
1522,Bustul lui Cuza,Alexandria, Teleorman,Cuza Bust,Alexandria, Teleorman
1523,Monument Primul Război Mondial,Alexandria, Teleorman,World War I Monument,Alexandria, Teleorman
1524,Statuie Liviu Vasilică,Alexandria, Teleorman,Liviu Vasilică Statue,Alexandria, Teleorman
1525,Ruinele Curții lui Constantin Aga Bălăceanu,Balaci, Teleorman,The Ruins of Constantine Aga Bălăceanu Court,Balaci, Teleorman
1531,Expoziția Memorială Gala Galaction,Didești, Teleorman,Memorial Exhibition Gala Galaction,Didești, Teleorman
1533,Casa Memorială Anton și Maria Popescu,Drăcșani, Teleorman,Memorial House Anton and Maria Popescu,Drăcșani, Teleorman
1534,Muzeul de Etnografie,Drăcșani, Teleorman,Ethnography Museum,Drăcșani, Teleorman
1535,Cula lui Costea,Frăsinet, Teleorman,Costea's Fortified Manor,Frăsinet, Teleorman
1536,Monumentul Comemorativ al Adunării de la Islaz,Islaz, Teleorman,Commemorative Monument of the Assembly of Islaz,Islaz, Teleorman
1537,Situl Arheologic de la Biserica,Măgura, Teleorman,Archaeological Site from the Church,Măgura, Teleorman
1538,Conacul Manu,Meri, Teleorman,Manu Mansion,Meri, Teleorman
1540,Monument Comemorativ Șarja,Prunaru, Teleorman,Commemorative Monument Șarja,Prunaru, Teleorman
1542,Cetatea Cazacilor,Roșiori, Teleorman,Cossacks Fortress,Roșiori, Teleorman
1543,Casa Mamut,Roșiorii de Vede, Teleorman,House Mamut,Roșiorii de Vede, Teleorman
1544,Casa Daia,Roșiori, Teleorman,House Daia,Roșiori, Teleorman
1545,Primăria Roșiorii de Vede,Roșiorii de Vede, Teleorman,City Hall Roșiorii de Vede,Roșiorii de Vede, Teleorman
1546,Bustul lui Nicolae Bălcescu,Roșiorii de Vede, Teleorman,Bust of Nicolae Bălcescu,Roșiorii de Vede, Teleorman
1547,Muzeul Municipal de Istorie,Roșiorii de Vede, Teleorman,Municipal History Museum,Roșiorii de Vede, Teleorman
1548,Gara,Roșiorii de Vede, Teleorman,Train Station,Roșiorii de Vede, Teleorman
1549,Casa Memorială Zaharia Stancu,Salcia, Teleorman,Memorial House Zaharia Stancu,Salcia, Teleorman
1551,Casa Memorială Marin Preda,Siliștea Gumești, Teleorman,Memorial House Marin Preda,Siliștea Gumești, Teleorman
1553,Muzeul de Etnografie,Stejaru, Teleorman,Ethnography Museum,Stejaru, Teleorman
1554,Ruinele Curților Bălăceanu,Tătărăștii de Sus, Teleorman,Bălăceanu Courts Ruins,Tătărăștii de Sus, Teleorman
1556,Casa Angelescu,Turnu Măgurele, Teleorman,House Angelescu,Turnu Măgurele, Teleorman
1558,Turnul de apă,Turnu Măgurele, Teleorman,Water Tower,Turnu Măgurele, Teleorman
1559,Parcul Central,Turnu Măgurele, Teleorman,Central Park,Turnu Măgurele, Teleorman
1560,Monumentul Independenței,Turnu Măgurele, Teleorman,Independence Monument,Turnu Măgurele, Teleorman
1561,Bustul lui Praporgescu,Turnu Măgurele, Teleorman,Bust of Praporgescu,Turnu Măgurele, Teleorman
1562,Statuia Dorobanțului,Turnu Măgurele, Teleorman,Statue Dorobanțului,Turnu Măgurele, Teleorman
1564,Statuia lui Mircea Cel Bătrân,Turnu Măgurele, Teleorman,Statue of Mircea cel Batran,Turnu Măgurele, Teleorman
1565,Tribunalul Turnu Măgurele,Turnu Măgurele, Teleorman,Turnu Magurele Court,Turnu Măgurele, Teleorman
1001,Crucea Grânarilor,Călugăreni, Giurgiu,Granaries Cross,Călugăreni, Giurgiu
1002,Statuia lui Mihai Viteazu,Giurgiu, Giurgiu,Statue of Michael the Brave,Giurgiu, Giurgiu
1004,Monument Mihai Viteazu,Călugăreni, Giurgiu,Monument Michael the Brave,Călugăreni, Giurgiu
1006,Parc natural Comana,Comana, Giurgiu,Natural Park Comana,Comana, Giurgiu
1008,Lacul Comana,Comana, Giurgiu,Lake Comana,Comana, Giurgiu
1010,Casa Memorială Gellu Naum,Comana, Giurgiu,Memorial House Gellu Naum,Comana, Giurgiu
1011,Monumentul Eroilor,Comana, Giurgiu,Heroes Monument,Comana, Giurgiu
1013,Mausoleul Eroilor Comana,Comana, Giurgiu,Heroes Mausoleum Comana,Comana, Giurgiu
1014,Aerodrom Comana,Comana, Giurgiu,Aerodrom Comana,Comana, Giurgiu
1017,Crucea de piatră Mihai Viteazu,Călugăreni, Giurgiu,Stone Cross Michael the Brave,Călugăreni, Giurgiu
1021,Monumentul Eroilor,Dobreni, Giurgiu,Heroes Monument,Dobreni, Giurgiu
1022,Muzeul Sătesc,Frătești, Giurgiu,Village Museum,Frătești, Giurgiu
1026,Cetatea Giurgiu,Giurgiu,Giurgiu Fortress,Giurgiu
1028,Statuia Triumf,Giurgiu, Giurgiu,Statue Triumph,Giurgiu, Giurgiu
1029,Primaria Giurgiu,Giurgiu, Giurgiu,City Hall Giurgiu,Giurgiu, Giurgiu
1030,Statuia lui Vlad Țepeș,Giurgiu, Giurgiu,Statue of Vlad Tepes,Giurgiu, Giurgiu
1031,Consiliul Județean Giurgiu,Giurgiu, Giurgiu,Giurgiu County Council,Giurgiu, Giurgiu
1032,Turnul Ceasornicarului,Giurgiu, Giurgiu,Watchmaker's Tower,Giurgiu, Giurgiu
1034,Statuia lui Nicolae Iorga,Giurgiu, Giurgiu,Statue of Nicolae Iorga,Giurgiu, Giurgiu
1035,Liceul Ion Maiorescu,Giurgiu, Giurgiu,Ion Maiorescu High School,Giurgiu, Giurgiu
1037,Mausoleul Eroilor,Giurgiu, Giurgiu,Heroes Mausoleum,Giurgiu, Giurgiu
1038,Statuia lui Mihai Viteazu,Giurgiu, Giurgiu,Statue of Michael the Brave,Giurgiu, Giurgiu
1040,Monumentul Eroilor Revoluției,Giurgiu, Giurgiu,Revolution Heroes Monument,Giurgiu, Giurgiu
1045,Muzeul Teohari Antonescu,Giurgiu, Giurgiu,Teohari Antonescu Museum,Giurgiu, Giurgiu
1046,Parcul Alei,Giurgiu, Giurgiu,Park Alei,Giurgiu, Giurgiu
1047,Statuia lui Mihai Eminescu din Parcul Alei,Giurgiu, Giurgiu,Statue of Mihai Eminescu in Park Alei,Giurgiu, Giurgiu
1048,Muzeul Poliției de Frontieră,Giurgiu, Giurgiu,Border Police Museum,Giurgiu, Giurgiu
1049,Casa Dr. A Vianu,Giurgiu, Giurgiu,House Dr. A Vianu,Giurgiu, Giurgiu
1052,Ansamblul Arhitectural Udriște-Năsturel,Herăști, Giurgiu,Architectural Ensemble Udrişte-Năsturel,Herăști, Giurgiu
1055,Monumentul eroilor,Giurgiu, Giurgiu,Heroes Monument,Giurgiu, Giurgiu
1056,Conacul lui Calinescu,Mihăilești, Giurgiu,Calinescu's Mansion,Mihăilești, Giurgiu
1059,Ruinele Conacului Radu Șerban,Mironești, Gostinari, Giurgiu,Radu Serban Mansion Ruins,Mironești, Gostinari, Giurgiu
1064,Primaria Vedea,Vedea, Giurgiu,Vedea City Hall,Vedea, Giurgiu
1065,Monumentul Eroilor,Vedea, Giurgiu,Heroes Monument,Vedea, Giurgiu
1066,Statuia Apollo Belvedere,Giurgiu, Giurgiu,Apollo Belvedere Statue,Giurgiu, Giurgiu
1242,Bustul lui Burebista,Călăraşi, Călărași,Bust of Burebista,Călăraşi, Călărași
